0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,550,500,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
1.9,550,500,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
1.8,550,500,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
1.7,550,500,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
1.6,550,500,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
2,550,750,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
1.9,550,750,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
1.8,550,750,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
1.7,550,750,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
1.6,550,750,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,13.94,0.04,4.81,5.7
2,550,1000,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,9.14,0.21,4.25,8.8
1.9,550,1000,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,9.91,0.32,4.57,9.5
1.8,550,1000,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,10.79,0.43,4.85,10
1.7,550,1000,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,11.8,0.53,5.16,10.4
1.6,550,1000,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,12.96,0.64,5.51,10.8
2,550,1250,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
1.9,550,1250,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
1.8,550,1250,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
1.7,550,1250,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
1.6,550,1250,0.1,10,10,50,30,11,5,2,35,4,2,4500,35,-,-,-,-
2,550,500,0.1,10,10,50,28,11,5,2,35,4,2,4500,35,-,-,-,-
1.9,550,500,0.1,10,10,50,28,11,5,2,35,4,2,4500,35,-,-,-,-
1.8,550,500,0.1,10,10,50,28,11,5,2,35,4,2,4500,35,-,-,-,-
1.7,550,500,0.1,10,10,50,28,11,5,2,35,4,2,4500,35,-,-,-,-
1.6,550,500,0.1,10,10,50,28,11,5,2,35,4,2,4500,35,-,-,-,-
2,550,750,0.1,10,10,50,28,11,5,2,35,4,2,4500,35,-,-,-,-
1.9,550,750,0.1,10,10,50,28,11,5,2,35,4,2,4500,35,-,-,-,-
1.8,550,750,0.1,10,10,50,28,11,5,2,35,4,2,4500,35,-,-,-,-
1.7,550,750,0.1,10,10,50,28,11,5,2,35,4,2,4500,35,-,-,-,-
