0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,350,1500,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,9.03,0.38,4.66,13.2
0.9,350,1500,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,10.62,0.49,5.23,14
0.8,350,1500,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,12.69,0.6,5.92,14.8
0.7,350,1500,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,15.48,0.71,6.79,15.5
0.6,350,1500,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,19.36,0.82,7.92,16.1
1,350,1750,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,8.58,0.51,4.35,14.5
0.9,350,1750,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,10.12,0.62,4.9,15.1
0.8,350,1750,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,12.14,0.74,5.57,15.9
0.7,350,1750,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,14.85,0.85,6.41,16.6
0.6,350,1750,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,18.66,0.96,7.52,17.2
1,350,2000,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,8.1,0.59,4.04,15.1
0.9,350,2000,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,9.59,0.7,4.56,15.9
0.8,350,2000,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,11.54,0.81,5.21,16.6
0.7,350,2000,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,14.18,0.92,6.03,17.1
0.6,350,2000,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,17.88,1.03,7.1,17.8
1,350,2250,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,-,-,-,-
0.9,350,2250,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,-,-,-,-
0.8,350,2250,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,-,-,-,-
0.7,350,2250,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,-,-,-,-
0.6,350,2250,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,-,-,-,-
1,350,2500,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,-,-,-,-
0.9,350,2500,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,-,-,-,-
0.8,350,2500,0.1,10,10,50,20,7,6,2,15,4,2,2500,15,-,-,-,-
