0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.1,300,2500,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,4.88,0.25,2.93,14.2
1,300,2500,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,5.73,0.36,3.29,15.3
0.9,300,2500,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,6.82,0.48,3.74,16.3
0.8,300,2500,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,8.26,0.6,4.29,17.3
0.7,300,2500,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,10.21,0.71,5,18.1
1.1,300,2250,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,5.16,0.21,3.14,13.6
1,300,2250,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,6.04,0.33,3.52,15
0.9,300,2250,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,7.18,0.45,3.99,15.8
0.8,300,2250,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,8.66,0.56,4.56,16.9
0.7,300,2250,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,10.68,0.67,5.3,17.6
1.1,300,2000,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,5.44,0.15,3.35,12.6
1,300,2000,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,6.36,0.27,3.76,14.1
0.9,300,2000,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,7.53,0.38,4.24,15.2
0.8,300,2000,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,9.06,0.49,4.84,16.1
0.7,300,2000,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,11.13,0.61,5.59,17
1.1,300,1750,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,5.72,0.05,3.19,9.9
1,300,1750,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,6.66,0.16,4,12.5
0.9,300,1750,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,7.86,0.28,4.5,13.8
0.8,300,1750,0.1,10,10,50,18,6,6,2,15,4,2,2250,15,9.43,0.39,5.11,14.9
