0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.7,500,750,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,-,-,-,-
1.6,500,750,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,-,-,-,-
1.5,500,750,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,-,-,-,-
1.4,500,750,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,-,-,-,-
1.3,500,750,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,15.83,0.01,4.32,4.4
1.7,500,1000,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,9.97,0.15,4.65,8.6
1.6,500,1000,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,10.95,0.26,5.13,9.5
1.5,500,1000,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,12.09,0.36,5.49,10.1
1.4,500,1000,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,13.43,0.47,5.91,10.6
1.3,500,1000,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,15.03,0.58,6.38,11.1
1.7,500,1250,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,9.23,0.53,4.38,11.5
1.6,500,1250,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,10.16,0.63,4.69,11.9
1.5,500,1250,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,11.25,0.74,5.03,12.3
1.4,500,1250,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,12.53,0.85,5.43,12.6
1.3,500,1250,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,14.06,0.96,5.88,13
1.7,500,1500,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,-,-,-,-
1.6,500,1500,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,-,-,-,-
1.5,500,1500,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,-,-,-,-
1.4,500,1500,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,-,-,-,-
1.3,500,1500,0.1,10,10,50,26,10,5,2,30,4,2,4000,30,-,-,-,-
1.7,500,750,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,-,-,-,-
1.6,500,750,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,-,-,-,-
1.5,500,750,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,-,-,-,-
1.4,500,750,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,-,-,-,-
1.3,500,750,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,15.83,0.01,4.32,4.4
1.7,500,1000,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,9.97,0.15,4.65,8.6
1.6,500,1000,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,10.95,0.26,5.13,9.5
1.5,500,1000,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,12.09,0.36,5.49,10.1
1.4,500,1000,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,13.43,0.47,5.91,10.6
1.3,500,1000,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,15.03,0.58,6.38,11.1
1.7,500,1250,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,9.23,0.53,4.38,11.5
1.6,500,1250,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,10.16,0.63,4.69,11.9
1.5,500,1250,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,11.25,0.74,5.03,12.3
1.4,500,1250,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,12.53,0.85,5.43,12.6
1.3,500,1250,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,14.06,0.96,5.88,13
1.7,500,1500,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,-,-,-,-
1.6,500,1500,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,-,-,-,-
1.5,500,1500,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,-,-,-,-
1.4,500,1500,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,-,-,-,-
1.3,500,1500,0.1,10,10,50,24,10,5,2,30,4,2,4000,30,-,-,-,-
1.7,500,750,0.1,10,10,50,22,10,5,2,30,4,2,4000,30,-,-,-,-
1.6,500,750,0.1,10,10,50,22,10,5,2,30,4,2,4000,30,-,-,-,-
1.5,500,750,0.1,10,10,50,22,10,5,2,30,4,2,4000,30,-,-,-,-
1.4,500,750,0.1,10,10,50,22,10,5,2,30,4,2,4000,30,-,-,-,-
1.3,500,750,0.1,10,10,50,22,10,5,2,30,4,2,4000,30,15.83,0.01,4.32,4.4
1.7,500,1000,0.1,10,10,50,22,10,5,2,30,4,2,4000,30,9.97,0.15,4.65,8.6
1.6,500,1000,0.1,10,10,50,22,10,5,2,30,4,2,4000,30,10.95,0.26,5.13,9.5
1.5,500,1000,0.1,10,10,50,22,10,5,2,30,4,2,4000,30,12.09,0.36,5.49,10.1
1.4,500,1000,0.1,10,10,50,22,10,5,2,30,4,2,4000,30,13.43,0.47,5.91,10.6
1.3,500,1000,0.1,10,10,50,22,10,5,2,30,4,2,4000,30,15.03,0.58,6.38,11.1
1.7,500,1250,0.1,10,10,50,22,10,5,2,30,4,2,4000,30,9.23,0.53,4.38,11.5
