0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.6,150,4000,0.1,10,10,50,12,3,8,2,10,4,2,500,10,-,-,-,-
0.5,150,4000,0.1,10,10,50,12,3,8,2,10,4,2,500,10,-,-,-,-
0.4,150,4000,0.1,10,10,50,12,3,8,2,10,4,2,500,10,-,-,-,-
0.3,150,4000,0.1,10,10,50,12,3,8,2,10,4,2,500,10,2.93,0.14,1.87,17.9
0.2,150,4000,0.1,10,10,50,12,3,8,2,10,4,2,500,10,5.45,0.26,2.92,21.4
0.6,150,3750,0.1,10,10,50,12,3,8,2,10,4,2,500,10,-,-,-,-
0.5,150,3750,0.1,10,10,50,12,3,8,2,10,4,2,500,10,-,-,-,-
0.4,150,3750,0.1,10,10,50,12,3,8,2,10,4,2,500,10,-,-,-,-
0.3,150,3750,0.1,10,10,50,12,3,8,2,10,4,2,500,10,2.99,0.13,1.93,17.7
0.2,150,3750,0.1,10,10,50,12,3,8,2,10,4,2,500,10,5.53,0.26,2.99,21.4
0.6,150,3500,0.1,10,10,50,12,3,8,2,10,4,2,500,10,-,-,-,-
0.5,150,3500,0.1,10,10,50,12,3,8,2,10,4,2,500,10,-,-,-,-
0.4,150,3500,0.1,10,10,50,12,3,8,2,10,4,2,500,10,-,-,-,-
0.3,150,3500,0.1,10,10,50,12,3,8,2,10,4,2,500,10,3.05,0.12,1.99,17.4
0.2,150,3500,0.1,10,10,50,12,3,8,2,10,4,2,500,10,5.6,0.25,3.06,21.1
0.6,150,3250,0.1,10,10,50,12,3,8,2,10,4,2,500,10,-,-,-,-
0.5,150,3250,0.1,10,10,50,12,3,8,2,10,4,2,500,10,-,-,-,-
0.4,150,3250,0.1,10,10,50,12,3,8,2,10,4,2,500,10,-,-,-,-
0.3,150,3250,0.1,10,10,50,12,3,8,2,10,4,2,500,10,3.11,0.11,2.04,16.9
0.2,150,3250,0.1,10,10,50,12,3,8,2,10,4,2,500,10,5.67,0.24,3.12,20.5
0.6,150,4000,0.1,10,10,50,10,3,8,2,10,4,2,500,10,-,-,-,-
0.5,150,4000,0.1,10,10,50,10,3,8,2,10,4,2,500,10,-,-,-,-
0.4,150,4000,0.1,10,10,50,10,3,8,2,10,4,2,500,10,-,-,-,-
0.3,150,4000,0.1,10,10,50,10,3,8,2,10,4,2,500,10,2.93,0.14,1.87,17.9
0.2,150,4000,0.1,10,10,50,10,3,8,2,10,4,2,500,10,5.45,0.26,2.92,21.4
0.6,150,3750,0.1,10,10,50,10,3,8,2,10,4,2,500,10,-,-,-,-
0.5,150,3750,0.1,10,10,50,10,3,8,2,10,4,2,500,10,-,-,-,-
0.4,150,3750,0.1,10,10,50,10,3,8,2,10,4,2,500,10,-,-,-,-
0.3,150,3750,0.1,10,10,50,10,3,8,2,10,4,2,500,10,2.99,0.13,1.93,17.7
0.2,150,3750,0.1,10,10,50,10,3,8,2,10,4,2,500,10,5.53,0.26,2.99,21.4
0.6,150,3500,0.1,10,10,50,10,3,8,2,10,4,2,500,10,-,-,-,-
0.5,150,3500,0.1,10,10,50,10,3,8,2,10,4,2,500,10,-,-,-,-
0.4,150,3500,0.1,10,10,50,10,3,8,2,10,4,2,500,10,-,-,-,-
0.3,150,3500,0.1,10,10,50,10,3,8,2,10,4,2,500,10,3.05,0.12,1.99,17.4
0.2,150,3500,0.1,10,10,50,10,3,8,2,10,4,2,500,10,5.6,0.25,3.06,21.1
0.6,150,3250,0.1,10,10,50,10,3,8,2,10,4,2,500,10,-,-,-,-
0.5,150,3250,0.1,10,10,50,10,3,8,2,10,4,2,500,10,-,-,-,-
0.4,150,3250,0.1,10,10,50,10,3,8,2,10,4,2,500,10,-,-,-,-
0.3,150,3250,0.1,10,10,50,10,3,8,2,10,4,2,500,10,3.11,0.11,2.04,16.9
0.2,150,3250,0.1,10,10,50,10,3,8,2,10,4,2,500,10,5.67,0.24,3.12,20.5
0.6,150,4000,0.1,10,10,50,8,3,8,2,10,4,2,500,10,-,-,-,-
0.5,150,4000,0.1,10,10,50,8,3,8,2,10,4,2,500,10,-,-,-,-
0.4,150,4000,0.1,10,10,50,8,3,8,2,10,4,2,500,10,-,-,-,-
0.3,150,4000,0.1,10,10,50,8,3,8,2,10,4,2,500,10,2.93,0.14,1.87,17.9
0.2,150,4000,0.1,10,10,50,8,3,8,2,10,4,2,500,10,5.45,0.26,2.92,21.4
0.6,150,3750,0.1,10,10,50,8,3,8,2,10,4,2,500,10,-,-,-,-
0.5,150,3750,0.1,10,10,50,8,3,8,2,10,4,2,500,10,-,-,-,-
0.4,150,3750,0.1,10,10,50,8,3,8,2,10,4,2,500,10,-,-,-,-
0.3,150,3750,0.1,10,10,50,8,3,8,2,10,4,2,500,10,2.99,0.13,1.93,17.7
0.2,150,3750,0.1,10,10,50,8,3,8,2,10,4,2,500,10,5.53,0.26,2.99,21.4
0.6,150,3500,0.1,10,10,50,8,3,8,2,10,4,2,500,10,-,-,-,-
0.5,150,3500,0.1,10,10,50,8,3,8,2,10,4,2,500,10,-,-,-,-
0.4,150,3500,0.1,10,10,50,8,3,8,2,10,4,2,500,10,-,-,-,-
0.3,150,3500,0.1,10,10,50,8,3,8,2,10,4,2,500,10,3.05,0.12,1.99,17.4
0.2,150,3500,0.1,10,10,50,8,3,8,2,10,4,2,500,10,5.6,0.25,3.06,21.1
0.6,150,3250,0.1,10,10,50,8,3,8,2,10,4,2,500,10,-,-,-,-
0.5,150,3250,0.1,10,10,50,8,3,8,2,10,4,2,500,10,-,-,-,-
0.4,150,3250,0.1,10,10,50,8,3,8,2,10,4,2,500,10,-,-,-,-
0.3,150,3250,0.1,10,10,50,8,3,8,2,10,4,2,500,10,3.11,0.11,2.04,16.9
0.2,150,3250,0.1,10,10,50,8,3,8,2,10,4,2,500,10,5.67,0.24,3.12,20.5
0.6,150,4000,0.1,10,10,50,12,3,7,2,10,4,2,500,10,-,-,-,-
0.5,150,4000,0.1,10,10,50,12,3,7,2,10,4,2,500,10,-,-,-,-
0.4,150,4000,0.1,10,10,50,12,3,7,2,10,4,2,500,10,1.93,0.01,1.12,10.3
0.3,150,4000,0.1,10,10,50,12,3,7,2,10,4,2,500,10,3.13,0.15,2.03,18.3
