0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.8,200,3250,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,3250,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,3.92,0.06,2.66,13.4
0.6,200,3250,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,5.09,0.18,3.35,16.9
0.5,200,3250,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,6.84,0.3,4.16,18.9
0.4,200,3250,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,9.7,0.42,5.35,20.5
0.8,200,3000,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,3000,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,4.07,0.04,2.7,12.6
0.6,200,3000,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,5.26,0.16,3.51,16.4
0.5,200,3000,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,7.06,0.28,4.34,18.5
0.4,200,3000,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,9.96,0.4,5.56,20.3
0.8,200,2750,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,2750,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,4.22,0.01,2.38,10
0.6,200,2750,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,5.44,0.14,3.68,15.7
0.5,200,2750,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,7.26,0.25,4.53,17.9
0.4,200,2750,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,10.21,0.37,5.77,19.7
0.8,200,2500,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,2500,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,-,-,-,-
0.6,200,2500,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,5.6,0.1,3.84,14.6
0.5,200,2500,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,7.45,0.21,4.71,17
0.4,200,2500,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,10.44,0.33,5.97,19
0.8,200,2250,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,2250,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,-,-,-,-
0.6,200,2250,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,5.75,0.04,3.79,12.3
0.5,200,2250,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,7.63,0.16,4.88,15.7
0.4,200,2250,0.1,10,10,50,17,4,7,2,10,4,2,1600,10,10.65,0.27,6.16,17.7
0.8,200,3250,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,3250,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,3.92,0.06,2.66,13.4
0.6,200,3250,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,5.09,0.18,3.35,16.9
0.5,200,3250,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,6.84,0.3,4.16,18.9
0.4,200,3250,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,9.7,0.42,5.35,20.5
0.8,200,3000,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,3000,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,4.07,0.04,2.7,12.6
0.6,200,3000,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,5.26,0.16,3.51,16.4
0.5,200,3000,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,7.06,0.28,4.34,18.5
0.4,200,3000,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,9.96,0.4,5.56,20.3
0.8,200,2750,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,2750,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,4.22,0.01,2.38,10
0.6,200,2750,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,5.44,0.14,3.68,15.7
0.5,200,2750,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,7.26,0.25,4.53,17.9
0.4,200,2750,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,10.21,0.37,5.77,19.7
0.8,200,2500,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,2500,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,-,-,-,-
0.6,200,2500,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,5.6,0.1,3.84,14.6
0.5,200,2500,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,7.45,0.21,4.71,17
0.4,200,2500,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,10.44,0.33,5.97,19
0.8,200,2250,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,2250,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,-,-,-,-
0.6,200,2250,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,5.75,0.04,3.79,12.3
0.5,200,2250,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,7.63,0.16,4.88,15.7
0.4,200,2250,0.1,10,10,50,15,4,7,2,10,4,2,1600,10,10.65,0.27,6.16,17.7
0.8,200,3250,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,3250,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,3.92,0.06,2.66,13.4
0.6,200,3250,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,5.09,0.18,3.35,16.9
0.5,200,3250,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,6.84,0.3,4.16,18.9
0.4,200,3250,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,9.7,0.42,5.35,20.5
0.8,200,3000,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,3000,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,4.07,0.04,2.7,12.6
0.6,200,3000,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,5.26,0.16,3.51,16.4
0.5,200,3000,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,7.06,0.28,4.34,18.5
0.4,200,3000,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,9.96,0.4,5.56,20.3
0.8,200,2750,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,2750,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,4.22,0.01,2.38,10
0.6,200,2750,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,5.44,0.14,3.68,15.7
0.5,200,2750,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,7.26,0.25,4.53,17.9
0.4,200,2750,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,10.21,0.37,5.77,19.7
0.8,200,2500,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,2500,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,-,-,-,-
0.6,200,2500,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,5.6,0.1,3.84,14.6
0.5,200,2500,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,7.45,0.21,4.71,17
0.4,200,2500,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,10.44,0.33,5.97,19
0.8,200,2250,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,-,-,-,-
0.7,200,2250,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,-,-,-,-
0.6,200,2250,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,5.75,0.04,3.79,12.3
0.5,200,2250,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,7.63,0.16,4.88,15.7
0.4,200,2250,0.1,10,10,50,13,4,7,2,10,4,2,1600,10,10.65,0.27,6.16,17.7
0.8,200,3250,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,3250,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,4.33,0.07,3.05,14.2
0.6,200,3250,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,5.59,0.19,3.74,17.2
0.5,200,3250,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,7.47,0.31,4.61,19.1
0.4,200,3250,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,10.52,0.43,5.89,20.8
0.8,200,3000,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,3000,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,4.47,0.05,3.05,12.9
0.6,200,3000,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,5.75,0.17,3.9,16.6
0.5,200,3000,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,7.67,0.29,4.79,18.7
0.4,200,3000,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,10.76,0.4,6.08,20.3
0.8,200,2750,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,2750,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,4.61,0.01,2.51,9.5
0.6,200,2750,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,5.91,0.13,4.05,15.5
0.5,200,2750,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,7.85,0.25,4.96,17.7
0.4,200,2750,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,10.98,0.36,6.28,19.5
0.8,200,2500,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,2500,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,-,-,-,-
0.6,200,2500,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,6.06,0.08,4.18,14
0.5,200,2500,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,8.02,0.2,5.13,16.7
0.4,200,2500,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,11.18,0.31,6.46,18.5
0.8,200,2250,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,2250,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,-,-,-,-
0.6,200,2250,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,6.19,0.02,3.7,10.5
0.5,200,2250,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,8.18,0.14,5.29,15
0.4,200,2250,0.1,10,10,50,17,4,6,2,10,4,2,1600,10,11.36,0.25,6.63,17.1
0.8,200,3250,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,3250,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,4.33,0.07,3.05,14.2
0.6,200,3250,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,5.59,0.19,3.74,17.2
0.5,200,3250,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,7.47,0.31,4.61,19.1
0.4,200,3250,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,10.52,0.43,5.89,20.8
0.8,200,3000,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,3000,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,4.47,0.05,3.05,12.9
0.6,200,3000,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,5.75,0.17,3.9,16.6
0.5,200,3000,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,7.67,0.29,4.79,18.7
0.4,200,3000,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,10.76,0.4,6.08,20.3
0.8,200,2750,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,2750,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,4.61,0.01,2.51,9.5
0.6,200,2750,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,5.91,0.13,4.05,15.5
0.5,200,2750,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,7.85,0.25,4.96,17.7
0.4,200,2750,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,10.98,0.36,6.28,19.5
0.8,200,2500,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,2500,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,-,-,-,-
0.6,200,2500,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,6.06,0.08,4.18,14
0.5,200,2500,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,8.02,0.2,5.13,16.7
0.4,200,2500,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,11.18,0.31,6.46,18.5
0.8,200,2250,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,2250,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,-,-,-,-
0.6,200,2250,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,6.19,0.02,3.7,10.5
0.5,200,2250,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,8.18,0.14,5.29,15
0.4,200,2250,0.1,10,10,50,15,4,6,2,10,4,2,1600,10,11.36,0.25,6.63,17.1
0.8,200,3250,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,3250,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,4.33,0.07,3.05,14.2
0.6,200,3250,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,5.59,0.19,3.74,17.2
0.5,200,3250,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,7.47,0.31,4.61,19.1
0.4,200,3250,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,10.52,0.43,5.89,20.8
0.8,200,3000,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,3000,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,4.47,0.05,3.05,12.9
0.6,200,3000,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,5.75,0.17,3.9,16.6
0.5,200,3000,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,7.67,0.29,4.79,18.7
0.4,200,3000,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,10.76,0.4,6.08,20.3
0.8,200,2750,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,2750,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,4.61,0.01,2.51,9.5
0.6,200,2750,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,5.91,0.13,4.05,15.5
0.5,200,2750,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,7.85,0.25,4.96,17.7
0.4,200,2750,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,10.98,0.36,6.28,19.5
0.8,200,2500,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,2500,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,-,-,-,-
0.6,200,2500,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,6.06,0.08,4.18,14
0.5,200,2500,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,8.02,0.2,5.13,16.7
0.4,200,2500,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,11.18,0.31,6.46,18.5
0.8,200,2250,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,-,-,-,-
0.7,200,2250,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,-,-,-,-
0.6,200,2250,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,6.19,0.02,3.7,10.5
0.5,200,2250,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,8.18,0.14,5.29,15
0.4,200,2250,0.1,10,10,50,13,4,6,2,10,4,2,1600,10,11.36,0.25,6.63,17.1
0.8,200,3250,0.1,10,10,50,17,4,5,2,10,4,2,1600,10,-,-,-,-
0.7,200,3250,0.1,10,10,50,17,4,5,2,10,4,2,1600,10,4.82,0.08,3.46,14.4
0.6,200,3250,0.1,10,10,50,17,4,5,2,10,4,2,1600,10,6.18,0.2,4.21,17.2
0.5,200,3250,0.1,10,10,50,17,4,5,2,10,4,2,1600,10,8.21,0.31,5.16,19.1
