0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.5,450,1000,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,9.57,0.13,4.62,8.8
1.4,450,1000,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,10.64,0.23,5.18,10
1.3,450,1000,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,11.92,0.34,5.6,10.6
1.2,450,1000,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,13.45,0.45,6.09,11.2
1.1,450,1000,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,15.32,0.55,6.66,11.8
1.5,450,1250,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,8.91,0.47,4.41,12
1.4,450,1250,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,9.94,0.58,4.76,12.5
1.3,450,1250,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,11.16,0.69,5.16,13
1.2,450,1250,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,12.64,0.8,5.63,13.4
1.1,450,1250,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,14.44,0.9,6.18,13.8
1.5,450,1500,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,-,-,-,-
1.4,450,1500,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,-,-,-,-
1.3,450,1500,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,-,-,-,-
1.2,450,1500,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,-,-,-,-
1.1,450,1500,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,-,-,-,-
1.5,450,1750,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,-,-,-,-
1.4,450,1750,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,-,-,-,-
1.3,450,1750,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,-,-,-,-
1.2,450,1750,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,-,-,-,-
1.1,450,1750,0.1,10,10,50,24,9,6,2,25,4,2,3500,25,-,-,-,-
1.5,450,1000,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,9.57,0.13,4.62,8.8
1.4,450,1000,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,10.64,0.23,5.18,10
1.3,450,1000,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,11.92,0.34,5.6,10.6
1.2,450,1000,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,13.45,0.45,6.09,11.2
1.1,450,1000,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,15.32,0.55,6.66,11.8
1.5,450,1250,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,8.91,0.47,4.41,12
1.4,450,1250,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,9.94,0.58,4.76,12.5
1.3,450,1250,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,11.16,0.69,5.16,13
1.2,450,1250,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,12.64,0.8,5.63,13.4
1.1,450,1250,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,14.44,0.9,6.18,13.8
1.5,450,1500,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,-,-,-,-
1.4,450,1500,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,-,-,-,-
1.3,450,1500,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,-,-,-,-
1.2,450,1500,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,-,-,-,-
1.1,450,1500,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,-,-,-,-
1.5,450,1750,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,-,-,-,-
1.4,450,1750,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,-,-,-,-
1.3,450,1750,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,-,-,-,-
1.2,450,1750,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,-,-,-,-
1.1,450,1750,0.1,10,10,50,22,9,6,2,25,4,2,3500,25,-,-,-,-
1.5,450,1000,0.1,10,10,50,20,9,6,2,25,4,2,3500,25,9.57,0.13,4.62,8.8
1.4,450,1000,0.1,10,10,50,20,9,6,2,25,4,2,3500,25,10.64,0.23,5.18,10
1.3,450,1000,0.1,10,10,50,20,9,6,2,25,4,2,3500,25,11.92,0.34,5.6,10.6
1.2,450,1000,0.1,10,10,50,20,9,6,2,25,4,2,3500,25,13.45,0.45,6.09,11.2
1.1,450,1000,0.1,10,10,50,20,9,6,2,25,4,2,3500,25,15.32,0.55,6.66,11.8
1.5,450,1250,0.1,10,10,50,20,9,6,2,25,4,2,3500,25,8.91,0.47,4.41,12
